epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,5135.49,0.62855,0.57751,1.05285,0.86873,0.89095,0.90525,0.72342,0.86058,0.68876,1.06382,0.000656,0.000656,0.000656
26,5339.99,0.62185,0.58013,1.04582,0.85363,0.85638,0.90402,0.72672,0.83857,0.69867,1.04304,0.00063125,0.00063125,0.00063125
27,5547.41,0.61044,0.55401,1.04089,0.88749,0.86761,0.91153,0.74292,0.84575,0.66965,1.05595,0.0006065,0.0006065,0.0006065
28,5754.66,0.60804,0.55453,1.03562,0.87861,0.90288,0.91644,0.74398,0.84946,0.63055,1.04606,0.00058175,0.00058175,0.00058175
29,5962.34,0.58892,0.52987,1.03228,0.88357,0.87116,0.91206,0.74553,0.82934,0.65292,1.04017,0.000557,0.000557,0.000557
30,6168.8,0.59825,0.53599,1.0342,0.86421,0.85712,0.90357,0.73427,0.81343,0.67937,1.02655,0.00053225,0.00053225,0.00053225
31,6376.62,0.57891,0.51246,1.02209,0.90334,0.87105,0.92152,0.74167,0.82549,0.64754,1.0347,0.0005075,0.0005075,0.0005075
32,6583.4,0.57723,0.51613,1.02048,0.89419,0.86909,0.91434,0.74438,0.82528,0.6593,1.04032,0.00048275,0.00048275,0.00048275
33,6791.96,0.56801,0.48405,1.01412,0.90749,0.90243,0.93032,0.75378,0.80354,0.5707,1.02286,0.000458,0.000458,0.000458
34,7000.07,0.56053,0.4855,1.01803,0.8946,0.87878,0.92789,0.75178,0.82157,0.60392,1.03252,0.00043325,0.00043325,0.00043325
35,7208.27,0.56699,0.47957,1.01242,0.88241,0.88548,0.91304,0.74057,0.83415,0.65477,1.03725,0.0004085,0.0004085,0.0004085
36,7416.49,0.55148,0.45863,1.00795,0.9043,0.89779,0.92746,0.75607,0.81612,0.59317,1.04136,0.00038375,0.00038375,0.00038375
37,7621.57,0.54704,0.45872,1.01122,0.89231,0.89645,0.93221,0.76583,0.80468,0.5621,1.02474,0.000359,0.000359,0.000359
38,7825.46,0.54997,0.45475,1.01039,0.9166,0.89959,0.93056,0.76415,0.79195,0.56833,1.02489,0.00033425,0.00033425,0.00033425
39,8029.27,0.52432,0.43325,1.00279,0.89535,0.90735,0.93334,0.76579,0.8014,0.56436,1.02131,0.0003095,0.0003095,0.0003095
40,8233.97,0.55696,0.44821,1.00785,0.90431,0.89825,0.93079,0.76618,0.78825,0.56526,1.00916,0.00028475,0.00028475,0.00028475
41,8586.59,0.59472,0.42223,0.99571,0.91024,0.89966,0.9338,0.7589,0.80769,0.57543,1.03286,0.00026,0.00026,0.00026
42,8788.66,0.57233,0.39389,0.984,0.90702,0.8993,0.93449,0.77156,0.79458,0.55331,1.02004,0.00023525,0.00023525,0.00023525
43,8990.13,0.56321,0.3827,0.97692,0.92596,0.90403,0.94109,0.77465,0.76864,0.54504,0.99142,0.0002105,0.0002105,0.0002105
44,9192.31,0.54772,0.35913,0.9602,0.91622,0.91091,0.93969,0.77962,0.78244,0.54263,1.00595,0.00018575,0.00018575,0.00018575
45,9393.66,0.54617,0.35213,0.96266,0.92689,0.9008,0.94478,0.7838,0.782,0.53013,1.01169,0.000161,0.000161,0.000161
46,9594.86,0.52942,0.33955,0.95526,0.91587,0.915,0.94421,0.78482,0.77096,0.53657,1.00084,0.00013625,0.00013625,0.00013625
47,9797.42,0.52347,0.32743,0.9537,0.92429,0.91205,0.94633,0.78413,0.78365,0.53342,1.0139,0.0001115,0.0001115,0.0001115
48,9997.69,0.51835,0.31924,0.9472,0.91493,0.91968,0.94391,0.78862,0.76468,0.52816,1.00016,8.675e-05,8.675e-05,8.675e-05
49,10198.7,0.5169,0.31416,0.9442,0.93571,0.90043,0.9452,0.78768,0.75687,0.51744,0.99224,6.2e-05,6.2e-05,6.2e-05
50,10399.8,0.49828,0.30096,0.93644,0.9431,0.90577,0.94703,0.7898,0.75363,0.5073,0.98728,3.725e-05,3.725e-05,3.725e-05
